Feature,Importance,Input_Weight_Importance
TRAF4,5.025248,5.025248
ECEL1,5.024938,5.024938
MMP1,5.0245657,5.0245657
SLC22A17,5.0244107,5.0244107
PRKACB,5.023553,5.023553
HK1,5.022556,5.022556
UQCRQ,5.021394,5.021394
CTSF,5.0212545,5.0212545
IGFBP5,5.0211344,5.0211344
CCDC80,5.02067,5.02067
IDH1,5.020409,5.020409
DNAJC1,5.019636,5.019636
RRAGA,5.019601,5.019601
ST13,5.019312,5.019312
PRDX3,5.018892,5.018892
ALDH3B2,5.0186095,5.0186095
CLTC,5.0184646,5.0184646
CYP4B1,5.0182886,5.0182886
PSMB6,5.0179234,5.0179234
CASC3,5.017549,5.017549
STT3B,5.017028,5.017028
SLC16A6,5.01608,5.01608
PTHLH,5.0158052,5.0158052
PRLR,5.015622,5.015622
FKBP8,5.0156164,5.0156164
OGN,5.015547,5.015547
BAMBI,5.0152016,5.0152016
CITED2,5.014962,5.014962
UBA52,5.0148907,5.0148907
CLIC6,5.0148096,5.0148096
FURIN,5.014269,5.014269
DHCR7,5.012997,5.012997
PADI2,5.012788,5.012788
GAA,5.0122676,5.0122676
S100G,5.0118637,5.0118637
GLYATL2,5.0117855,5.0117855
IQGAP1,5.010662,5.010662
TOP2A,5.01005,5.01005
CALML5,5.0100164,5.0100164
UBB,5.009111,5.009111
PBXIP1,5.009008,5.009008
TCN1,5.008443,5.008443
VSTM2A,5.0080442,5.0080442
STARD10,5.0079165,5.0079165
SPCS2,5.0070133,5.0070133
HLA-A,5.006746,5.006746
ARPP19,5.0065928,5.0065928
CMPK1,5.006333,5.006333
FABP4,5.006317,5.006317
TMEM150C,5.0060434,5.0060434
CTSB,5.004188,5.004188
ORM2,5.0040407,5.0040407
PYCARD,5.0040016,5.0040016
SOD2,5.003813,5.003813
RPS24,5.0035806,5.0035806
H1-0,5.0018444,5.0018444
REEP5,5.0015335,5.0015335
NPM1,5.0010476,5.0010476
CLEC3A,5.000579,5.000579
TMEM106C,4.999835,4.999835
C1orf43,4.999683,4.999683
OBP2B,4.9994717,4.9994717
PEA15,4.9988756,4.9988756
BANF1,4.998434,4.998434
PDIA4,4.9977784,4.9977784
CRYBG1,4.9971924,4.9971924
COX5B,4.9970837,4.9970837
FBXO32,4.996497,4.996497
GPC4,4.9961376,4.9961376
MYBPC1,4.99584,4.99584
RPL18,4.995737,4.995737
UBE2Z,4.9952126,4.9952126
CETN2,4.995165,4.995165
DLK1,4.9947877,4.9947877
AGT,4.994548,4.994548
COPZ1,4.9942107,4.9942107
FGFR1,4.9940095,4.9940095
HIF1A,4.9934363,4.9934363
DNPH1,4.992051,4.992051
EIF5A,4.991891,4.991891
NECTIN4,4.990861,4.990861
PLIN4,4.9908013,4.9908013
YIF1A,4.990658,4.990658
UBC,4.9900765,4.9900765
GSR,4.9888487,4.9888487
UBL5,4.987614,4.987614
SF3B6,4.9872923,4.9872923
CAPRIN1,4.9868317,4.9868317
LITAF,4.9865227,4.9865227
PRKDC,4.9862723,4.9862723
NBL1,4.9861937,4.9861937
TGFBI,4.9859433,4.9859433
CPA3,4.9858823,4.9858823
TRPS1,4.9853086,4.9853086
SDHC,4.9848523,4.9848523
VCP,4.9846554,4.9846554
CEACAM5,4.9836006,4.9836006
YWHAE,4.982851,4.982851
PLS3,4.981983,4.981983
H2BC21,4.9816403,4.9816403
LBP,4.9816017,4.9816017
HNRNPH2,4.9815693,4.9815693
RCN3,4.9815273,4.9815273
ATP1B1,4.981158,4.981158
ATF4,4.981028,4.981028
MANBAL,4.979716,4.979716
STIP1,4.979524,4.979524
C16orf89,4.9793053,4.9793053
RPS2,4.9789367,4.9789367
RERG,4.9788504,4.9788504
FLNB,4.977972,4.977972
CRIP2,4.977888,4.977888
SDCBP,4.9768076,4.9768076
KLK13,4.976355,4.976355
NOP10,4.9763184,4.9763184
TRAPPC1,4.976239,4.976239
SFN,4.9749737,4.9749737
NPNT,4.9748316,4.9748316
AGR3,4.9737334,4.9737334
KRT7,4.9735684,4.9735684
ATP6V1G1,4.973329,4.973329
CDKN1B,4.972456,4.972456
TUBB4B,4.972188,4.972188
CYB561,4.9705544,4.9705544
UTP18,4.9697413,4.9697413
CCDC167,4.969215,4.969215
KLK12,4.9683046,4.9683046
MRPS26,4.9678187,4.9678187
AUP1,4.967202,4.967202
KCTD3,4.967129,4.967129
PVALB,4.966384,4.966384
ISYNA1,4.9661,4.9661
GPC3,4.9659853,4.9659853
NUCKS1,4.965658,4.965658
CCT4,4.964281,4.964281
RAB11FIP1,4.962305,4.962305
ORM1,4.9606066,4.9606066
CXCL17,4.9588056,4.9588056
MIEN1,4.9570503,4.9570503
SCAMP3,4.9553156,4.9553156
MED24,4.955243,4.955243
FTL,4.9546523,4.9546523
SPRR1B,4.954506,4.954506
ALCAM,4.9540606,4.9540606
NRAS,4.9538555,4.9538555
CLTA,4.9537992,4.9537992
GPX4,4.953164,4.953164
GRB14,4.9525847,4.9525847
PSCA,4.951555,4.951555
H4C8,4.9515104,4.9515104
MYL12A,4.950722,4.950722
APH1A,4.9502707,4.9502707
DYNLL1,4.949498,4.949498
PRELID3B,4.948311,4.948311
LGMN,4.948082,4.948082
FGA,4.947769,4.947769
MAGEF1,4.947285,4.947285
DPM3,4.9471426,4.9471426
YWHAG,4.947036,4.947036
IGSF1,4.9462013,4.9462013
SYAP1,4.9452124,4.9452124
MDH2,4.943753,4.943753
MSMB,4.9437027,4.9437027
NARS1,4.942644,4.942644
SERPINA11,4.9423714,4.9423714
MRPL14,4.941772,4.941772
MCM7,4.941334,4.941334
ECM1,4.940739,4.940739
B4GALT1,4.938299,4.938299
CCDC124,4.93787,4.93787
ERP29,4.937581,4.937581
ATP5F1C,4.9368796,4.9368796
TMEM101,4.936687,4.936687
NDUFAB1,4.936492,4.936492
RARRES1,4.936483,4.936483
LRG1,4.9339857,4.9339857
FBLN1,4.9337835,4.9337835
PAK1,4.9335127,4.9335127
ASH2L,4.933016,4.933016
CXCR4,4.9327736,4.9327736
ACTA1,4.931695,4.931695
RBM42,4.9303975,4.9303975
PGRMC1,4.9296584,4.9296584
ZYX,4.929309,4.929309
CDV3,4.9283323,4.9283323
TCEAL3,4.9278684,4.9278684
VMP1,4.9278526,4.9278526
TIMP3,4.9271894,4.9271894
PSAP,4.9266224,4.9266224
SCAND1,4.9256477,4.9256477
HSPA1B,4.925641,4.925641
PLXNB2,4.9247437,4.9247437
PRR11,4.9245834,4.9245834
MRFAP1,4.924489,4.924489
THRSP,4.9239974,4.9239974
RPL19,4.9238305,4.9238305
ERGIC3,4.923586,4.923586
PDK4,4.923266,4.923266
PODXL,4.9210978,4.9210978
TRIM28,4.920642,4.920642
RAP2C,4.91694,4.91694
DDX5,4.9167976,4.9167976
PLAAT3,4.915891,4.915891
ARHGAP36,4.914777,4.914777
KRT6A,4.914483,4.914483
NKX3-1,4.9139605,4.9139605
FUS,4.9130254,4.9130254
SPANXB1,4.912924,4.912924
LAMB2,4.9120255,4.9120255
IRF6,4.910735,4.910735
CDH3,4.910081,4.910081
DUSP4,4.9100113,4.9100113
HSP90AB1,4.909896,4.909896
NECTIN2,4.9086876,4.9086876
KLK11,4.906913,4.906913
YWHAH,4.9067364,4.9067364
UGT2B4,4.905526,4.905526
P4HA1,4.904877,4.904877
RMND1,4.9048386,4.9048386
TRH,4.904232,4.904232
RTN3,4.9027157,4.9027157
ECE1,4.9020185,4.9020185
ERLIN2,4.9011436,4.9011436
NRIP3,4.901011,4.901011
SERPINA5,4.898999,4.898999
MSL1,4.8987646,4.8987646
BTG1,4.8967133,4.8967133
TAF7,4.894971,4.894971
CCDC47,4.8937154,4.8937154
ORMDL3,4.893285,4.893285
PI15,4.8930693,4.8930693
SEMA3C,4.8923464,4.8923464
SELENOW,4.8893857,4.8893857
PLEKHF2,4.8893747,4.8893747
DSP,4.886199,4.886199
TFPI2,4.8841877,4.8841877
CYC1,4.881954,4.881954
C1QBP,4.88019,4.88019
RGS5,4.880085,4.880085
ARF6,4.878217,4.878217
SPINT1,4.8771334,4.8771334
ARHGDIB,4.8766723,4.8766723
PPIB,4.8741555,4.8741555
AP2M1,4.872891,4.872891
ERBB3,4.871601,4.871601
CST1,4.8710675,4.8710675
FLOT2,4.870842,4.870842
DCAF10,4.8707414,4.8707414
C19orf53,4.8632317,4.8632317
STAU1,4.861882,4.861882
GNS,4.8616953,4.8616953
PROM1,4.859939,4.859939
GOT2,4.8582125,4.8582125
GGCT,4.8567047,4.8567047
POLDIP2,4.856292,4.856292
IFI6,4.8547335,4.8547335
MAGED2,4.853284,4.853284
NSG2,4.851795,4.851795
CDC42EP4,4.848279,4.848279
SLC39A8,4.847727,4.847727
PSMD8,4.8461046,4.8461046
PPIF,4.8384705,4.8384705
NIPSNAP2,4.8376255,4.8376255
CST5,4.8350506,4.8350506
ISOC1,4.8326025,4.8326025
RAC1,4.831684,4.831684
UBA1,4.82677,4.82677
ALKBH7,4.825036,4.825036
SF3B5,4.824151,4.824151
RHOA,4.821008,4.821008
CALD1,4.819065,4.819065
GSTM1,4.8187113,4.8187113
SULF2,4.8134923,4.8134923
GLUD1,4.812011,4.812011
SCGB3A1,4.8087234,4.8087234
PLA2G2A,4.8065214,4.8065214
CDC42EP1,4.8023667,4.8023667
RBBP7,4.8010945,4.8010945
PLPP5,4.801091,4.801091
HACD3,4.797127,4.797127
ZNF385A,4.794029,4.794029
PLPBP,4.788625,4.788625
NDUFA4,4.7817144,4.7817144
BCAS2,4.77921,4.77921
H2AC6,4.76937,4.76937
PIM3,4.7674823,4.7674823
GALNT6,4.7587824,4.7587824
H2AC8,4.751228,4.751228
TUBA3D,4.7365427,4.7365427
RPL18A,4.6634903,4.6634903
