Feature,Importance,Input_Weight_Importance
IFIT2,5.1968107,5.1968107
NAA20,5.1967583,5.1967583
NUCB1,5.196253,5.196253
BEX4,5.1956625,5.1956625
SMR3B,5.1950493,5.1950493
OLFM4,5.194209,5.194209
MT-ND1,5.194194,5.194194
CLIC1,5.193643,5.193643
SPP1,5.19335,5.19335
PPIA,5.193265,5.193265
HLA-DQA2,5.193159,5.193159
PIP4K2B,5.1930585,5.1930585
CYP4X1,5.192896,5.192896
NCOA4,5.191781,5.191781
MTCH1,5.1916776,5.1916776
CLDN4,5.191557,5.191557
PTGES,5.1906343,5.1906343
CCDC85B,5.1905136,5.1905136
KRT4,5.1901846,5.1901846
SCUBE2,5.1895885,5.1895885
IGFBP3,5.189377,5.189377
EIF3D,5.18904,5.18904
GPI,5.1890306,5.1890306
MYOF,5.188981,5.188981
ID4,5.187894,5.187894
HSPA8,5.1876464,5.1876464
EIF4G2,5.187401,5.187401
BTF3,5.1868,5.1868
PPA1,5.186309,5.186309
CD79A,5.186304,5.186304
ATF3,5.186203,5.186203
SDC2,5.186201,5.186201
STMN3,5.185972,5.185972
KIF12,5.18583,5.18583
LACRT,5.1857643,5.1857643
PPP1CB,5.185278,5.185278
RPL3,5.185003,5.185003
PKIB,5.1841164,5.1841164
SRM,5.1838493,5.1838493
SAT1,5.1837053,5.1837053
BPIFB1,5.183401,5.183401
URI1,5.1832924,5.1832924
HSPA5,5.1832867,5.1832867
IARS2,5.1832786,5.1832786
KLF6,5.1831665,5.1831665
CST9,5.1831055,5.1831055
GADD45G,5.1826286,5.1826286
TMEM176B,5.1824565,5.1824565
SLC2A1,5.1822624,5.1822624
PLTP,5.181979,5.181979
TNFSF10,5.1819305,5.1819305
PRKCSH,5.181882,5.181882
GTF3C6,5.1815896,5.1815896
KPNA2,5.1811094,5.1811094
MRPS30,5.1807837,5.1807837
DEK,5.180549,5.180549
PRR15,5.18054,5.18054
SSNA1,5.1800623,5.1800623
TRPC4AP,5.179117,5.179117
IFITM3,5.178935,5.178935
CTTN,5.1782026,5.1782026
VDAC3,5.17811,5.17811
HLA-DPA1,5.1780148,5.1780148
PAXX,5.177742,5.177742
SPINT2,5.1777325,5.1777325
NINJ1,5.1775074,5.1775074
RPS26,5.1774597,5.1774597
ATP5F1A,5.1771774,5.1771774
SLC44A2,5.176955,5.176955
CTSK,5.176799,5.176799
RRBP1,5.17674,5.17674
PFDN2,5.176566,5.176566
DEGS2,5.1765537,5.1765537
HIBADH,5.176049,5.176049
CHRNA9,5.175966,5.175966
HSPA4,5.1758857,5.1758857
SEC61G,5.1758795,5.1758795
UQCRFS1,5.175827,5.175827
S100A8,5.175587,5.175587
RAB1A,5.175481,5.175481
GPAA1,5.175452,5.175452
HDC,5.1752014,5.1752014
CLU,5.174824,5.174824
RPL34,5.1746154,5.1746154
SEZ6L2,5.174329,5.174329
MAGED1,5.1741242,5.1741242
MRPS35,5.173216,5.173216
H1-2,5.173037,5.173037
FCGRT,5.172709,5.172709
HSP90AA1,5.172702,5.172702
BLVRB,5.172049,5.172049
PAGE2,5.1715508,5.1715508
TMX2,5.1715403,5.1715403
TRIP6,5.171019,5.171019
DMKN,5.1709166,5.1709166
NDUFB4,5.1708307,5.1708307
PPM1G,5.1706085,5.1706085
SUMO1,5.170513,5.170513
DYNC2I2,5.170238,5.170238
XDH,5.1700926,5.1700926
COX6C,5.169903,5.169903
TGOLN2,5.169776,5.169776
MYL12B,5.168662,5.168662
TIMM10,5.1682634,5.1682634
SLC50A1,5.1680145,5.1680145
FGF10,5.16801,5.16801
AGPAT2,5.167843,5.167843
S100A7,5.1677856,5.1677856
CTNNB1,5.1677485,5.1677485
THBS2,5.1674795,5.1674795
RAB6A,5.166202,5.166202
RPL10,5.1659307,5.1659307
NCSTN,5.1658163,5.1658163
SUSD2,5.165431,5.165431
TALDO1,5.165152,5.165152
ERH,5.165097,5.165097
EMP2,5.16494,5.16494
ODC1,5.1647735,5.1647735
C3,5.164762,5.164762
